PRODUCE,COST PER POUND,POUNDS SOLD
Apples,1.88,24.8
Green cabbage,0.8,16.9
Eggplant,2.32,18.5
Strawberries,4.4,5.5
Cherries,9.5,11.2
Celery,3.07,27
Cherries,9.5,13.4
Red onion,0.78,19.8
Strawberries,4.4,15.8
Green cabbage,0.8,18.3
Bok choy,1.42,7.9
Apples,1.88,39.3
Grapes,2.63,6.2
Avocados,3.23,31.9
Eggplant,2.32,34.9
Bananas,0.86,10.7
Coconuts,1.18,10.4
Fava beans,2.69,34.8
Strawberries,4.4,22.9
Lemon,1.29,14.2
Bananas,0.86,12.5
Coconuts,1.18,23.6
Red onion,0.78,9
Lemon,1.29,7.4
Coconuts,1.18,35.7
Ginger,5.13,39
Carrots,1.26,22.7
Celery,3.07,29.8
Asparagus,2.49,29.4
Lettuce,1.88,24.7
Kale,5.02,32.3
Okra,2.26,12.4
Potatoes,0.86,32.5
Avocados,3.23,35.2
Bananas,0.86,0.9
Cucumber,1.07,5.4
Lemon,1.29,38.8
Strawberries,4.4,11.6
Potatoes,0.86,3.3
Bananas,0.86,31.1
Grapes,2.63,2.2
Orange,1.09,0.6
Green peppers,1.89,20.7
Garlic,1.19,37.9
Asparagus,2.49,21.1
Spinach,4.12,5.5
Green cabbage,0.8,0.7
Lettuce,1.88,30.4
Carrots,1.26,32.6
Beets,1.51,3.4
Brussels sprouts,1.65,38.9
Orange,1.09,30
Orange,1.09,28.9
Ginger,5.13,7.2
Beets,1.51,4.4
Grapefruit,0.76,18.3
Fava beans,2.69,13
Strawberries,4.4,6.9
Lettuce,1.88,7
Potatoes,0.86,28.3
Kale,5.02,36.7
Eggplant,2.32,1.7
Avocados,3.23,37.1
Bananas,0.86,9.4
Asparagus,2.49,35.6
Bok choy,1.42,29.5
Beets,1.51,16.8
Orange,1.09,24.4
Cucumber,1.07,38
Coconuts,1.18,23.6
Lemon,1.29,18.8
Asparagus,2.49,19.1
Butternut squash,1.28,15.8
Ginger,5.13,3.3
Green peppers,1.89,24.1
Lemon,1.29,36.5
Okra,2.26,32.5
Butternut squash,1.28,5.8
Lemon,1.29,24.2
Beets,1.51,3.3
Kale,5.02,37.6
Brussels sprouts,1.65,38.9
Asparagus,2.49,4.1
Cucumber,1.07,31
Potatoes,0.86,16.1
Beets,1.51,11.7
Corn,1.07,4
Kale,5.02,31
Daikon,1.4,5.2
Celery,3.07,38.6
Beets,1.51,23
Spinach,4.12,39
Fava beans,2.69,9.5
Kale,5.02,8.8
Orange,1.09,35.7
Yellow peppers,2.87,4.3
Daikon,1.4,28.5
Papaya,1.34,30
Avocados,3.23,2.1
Butternut squash,1.28,25.5
Eggplant,2.32,29.9
Apples,1.88,26.4
Daikon,1.4,8.8
Brussels sprouts,1.65,29
Green peppers,1.89,29.8
Butternut squash,1.28,16.7
Bananas,0.86,31.9
Okra,2.26,9.2
Spinach,4.12,5.3
Grapes,2.63,34
Eggplant,2.32,4.5
Kale,5.02,32.5
Bok choy,1.42,1.1
Orange,1.09,9.7
Strawberries,4.4,4
Celery,3.07,30
Kale,5.02,25.3
Strawberries,4.4,22.4
Spinach,4.12,4.4
Okra,2.26,23
Cherries,9.5,39.3
Green cabbage,0.8,21.8
Eggplant,2.32,10
Green beans,2.52,25
Avocados,3.23,32.6
Bananas,0.86,17
Celery,3.07,28.3
Coconuts,1.18,18.7
Papaya,1.34,25.2
Bok choy,1.42,13
Brussels sprouts,1.65,34.8
Papaya,1.34,38.8
Coconuts,1.18,1.9
Garlic,1.19,26.2
Avocados,3.23,24.6
Green cabbage,0.8,4.4
Watermelon,0.66,17.1
Watermelon,0.66,26.9
Corn,1.07,31.2
Bananas,0.86,4.4
Cucumber,1.07,24.4
Eggplant,2.32,21.9
Kale,5.02,29.5
Asparagus,2.49,31.6
Garlic,1.19,23.5
Orange,1.09,28.6
Green beans,2.52,22.8
Corn,1.07,25.6
Okra,2.26,38.7
Grapes,2.63,4.9
Bok choy,1.42,39.3
Bananas,0.86,16.2
Asparagus,2.49,21
Green beans,2.52,19.8
Parsnips,2.27,2.4
Kale,5.02,32.7
Fava beans,2.69,12.2
Strawberries,4.4,14.7
Strawberries,4.4,12
Fava beans,2.69,15.2
Spinach,4.12,6
Apples,1.88,8.5
Red onion,0.78,6.8
Beets,1.51,35.2
Watermelon,0.66,3.6
Coconuts,1.18,11.9
Cherries,9.5,26.4
Tomatoes,3.16,4.5
Daikon,1.4,16.6
Bok choy,1.42,17.2
Yellow peppers,2.87,15.3
Red onion,0.78,3.7
Orange,1.09,24.3
Lettuce,1.88,11
Butternut squash,1.28,33
Bok choy,1.42,39.8
Strawberries,4.4,37.1
Potatoes,0.86,26.5
Lime,1.06,15.7
Orange,1.09,11.7
Corn,1.07,32.8
Green cabbage,0.8,34.2
Lime,1.06,14.4
Potatoes,0.86,12.6
Kale,5.02,23.3
Spinach,4.12,16.8
Strawberries,4.4,0.6
Yellow peppers,2.87,35.9
Tomatoes,3.16,16.2
Beets,1.51,38.1
Watermelon,0.66,32.6
Butternut squash,1.28,25.3
Okra,2.26,18.5
Potatoes,0.86,3.6
Green beans,2.52,13.2
Green beans,2.52,39.3
Grapefruit,0.76,20.3
Brussels sprouts,1.65,4.5
Parsnips,2.27,5.7
Yellow peppers,2.87,39.9
Bananas,0.86,23.1
Yellow peppers,2.87,3.3
Ginger,5.13,27.4
Fava beans,2.69,26.7
Lettuce,1.88,36.5
Lettuce,1.88,34.9
Fava beans,2.69,4.6
Ginger,5.13,1.2
Fava beans,2.69,24.2
Lime,1.06,21.2
Avocados,3.23,17.5
Lemon,1.29,2.5
Parsnips,2.27,9.6
Okra,2.26,29.2
Apples,1.88,6.9
Beets,1.51,0.9
Garlic,1.19,36.1
Beets,1.51,13.2
Kale,5.02,32
Carrots,1.26,31.9
Orange,1.09,15.4
Strawberries,4.4,2.3
Cherries,9.5,8.8
Corn,1.07,19.9
Green peppers,1.89,4.9
Green beans,2.52,12.9
Avocados,3.23,34.8
Tomatoes,3.16,5.2
Apricots,3.71,15.3
Orange,1.09,10.5
Apples,1.88,19.7
Green beans,2.52,7.1
Cherries,9.5,0.8
Strawberries,4.4,17.9
Grapefruit,0.76,20.1
Asparagus,2.49,31
Green beans,2.52,24
Green beans,2.52,27.9
Bananas,0.86,25.4
Parsnips,2.27,22.9
Celery,3.07,10.6
Grapes,2.63,27.7
Apricots,3.71,13
Avocados,3.23,2.4
Avocados,3.23,28.3
Corn,1.07,21.2
Bok choy,1.42,23.7
Tomatoes,3.16,5.2
Grapefruit,0.76,20.8
Lemon,1.29,20.1
Apples,1.88,20.9
Grapefruit,0.76,2.2
Parsnips,2.27,12.6
Strawberries,4.4,34
Celery,3.07,24.9
Grapes,2.63,15.1
Watermelon,0.66,17.4
Grapes,2.63,27
Parsnips,2.27,2.6
Asparagus,2.49,34.1
Butternut squash,1.28,16.2
Bok choy,1.42,23
Avocados,3.23,9.2
Fava beans,2.69,28
Kale,5.02,38.3
Brussels sprouts,1.65,4.5
Butternut squash,1.28,31.5
Orange,1.09,11
Coconuts,1.18,13.5
Apricots,3.71,11.1
Bananas,0.86,26.1
Apricots,3.71,21.4
Strawberries,4.4,33
Brussels sprouts,1.65,28.8
Yellow peppers,2.87,28
Lemon,1.29,33.2
Green peppers,1.89,39.2
Asparagus,2.49,17.8
Lime,1.06,23.4
Garlic,1.19,39.1
Papaya,1.34,24.2
Watermelon,0.66,30.5
Strawberries,4.4,35
Green peppers,1.89,37.4
Grapefruit,0.76,12.5
Celery,3.07,15
Tomatoes,3.16,9.4
Lime,1.06,30.8
Eggplant,2.32,22.4
Kale,5.02,35
Celery,3.07,34.5
Lime,1.06,2.7
Brussels sprouts,1.65,11.9
Papaya,1.34,10.9
Spinach,4.12,21.3
Brussels sprouts,1.65,13.7
Celery,3.07,10.9
Cherries,9.5,30.3
Bananas,0.86,5.6
Potatoes,0.86,8.3
Beets,1.51,11.7
Okra,2.26,23.8
Grapes,2.63,18.2
Tomatoes,3.16,15.8
Coconuts,1.18,33.2
Watermelon,0.66,19.8
Grapes,2.63,21
Papaya,1.34,34.3
Carrots,1.26,16.5
Ginger,5.13,4.3
Green cabbage,0.8,17.7
Cucumber,1.07,39.1
Yellow peppers,2.87,37.2
Parsnips,2.27,6.2
Brussels sprouts,1.65,22.8
Fava beans,2.69,14.1
Grapefruit,0.76,18.9
Grapefruit,0.76,28
Okra,2.26,7.6
Asparagus,2.49,19.1
Lime,1.06,1.3
Orange,1.09,8.3
Red onion,0.78,37.7
Apricots,3.71,14.4
Celery,3.07,16.9
Okra,2.26,13.9
Spinach,4.12,7.5
Butternut squash,1.28,25.6
Eggplant,2.32,25
Watermelon,0.66,16
Asparagus,2.49,0.6
Papaya,1.34,27.6
Parsnips,2.27,17.2
Lemon,1.29,20.7
Apples,1.88,9.5
Carrots,1.26,7.1
Ginger,5.13,39.6
Watermelon,0.66,9.3
Green beans,2.52,33
Orange,1.09,1.7
Carrots,1.26,0.5
Watermelon,0.66,15.4
Apples,1.88,15.1
Apples,1.88,38
Tomatoes,3.16,24.4
Bok choy,1.42,0.9
Corn,1.07,29
Green peppers,1.89,20.7
Avocados,3.23,17
Corn,1.07,22.4
Apricots,3.71,1.9
Potatoes,0.86,2.6
Carrots,1.26,37.9
Orange,1.09,25.4
Green cabbage,0.8,33
Butternut squash,1.28,1.6
Eggplant,2.32,18.7
Bok choy,1.42,36.4
Green cabbage,0.8,10.6
Spinach,4.12,7.7
Beets,1.51,16.9
Bananas,0.86,36.3
Lettuce,1.88,22.8
Grapefruit,0.76,7.1
Coconuts,1.18,4.7
Fava beans,2.69,3.2
Green peppers,1.89,10.4
Green peppers,1.89,11.2
Kale,5.02,22.1
Parsnips,2.27,23.3
Kale,5.02,28.7
Daikon,1.4,36.1
Daikon,1.4,22.9
Celery,3.07,23.2
Red onion,0.78,17.6
Avocados,3.23,29
Daikon,1.4,10.3
Lettuce,1.88,28.5
Strawberries,4.4,34.5
Apricots,3.71,36.9
Papaya,1.34,22.9
Parsnips,2.27,26.3
Yellow peppers,2.87,1.3
Lime,1.06,33.6
Ginger,5.13,23.3
Green peppers,1.89,10.7
Bok choy,1.42,25.7
Okra,2.26,4.5
Bok choy,1.42,22.2
Potatoes,0.86,23.1
Butternut squash,1.28,3.5
Eggplant,2.32,11.2
Potatoes,0.86,12.2
Beets,1.51,20.6
Parsnips,2.27,3.4
Potatoes,0.86,30.7
Asparagus,2.49,26.4
Apricots,3.71,17.6
Okra,2.26,6.6
Red onion,0.78,2.1
Bok choy,1.42,19.6
Celery,3.07,11.5
Bananas,0.86,13.4
Daikon,1.4,35.3
Okra,2.26,25.2
Lemon,1.29,32.7
Cucumber,1.07,25.9
Orange,1.09,18.7
Spinach,4.12,15.1
Apples,1.88,21.9
Green cabbage,0.8,34.5
Asparagus,2.49,36.9
Cherries,9.5,1.1
Celery,3.07,38.6
Tomatoes,3.16,29
Strawberries,4.4,26.7
Parsnips,2.27,17.5
Okra,2.26,3
Bok choy,1.42,32.1
Green cabbage,0.8,38.6
Tomatoes,3.16,13.4
Grapes,2.63,33.4
Ginger,5.13,8.3
Garlic,1.19,11.9
Spinach,4.12,12.1
Garlic,1.19,6.7
Green peppers,1.89,18.7
Garlic,1.19,3.5
Strawberries,4.4,9.2
Lime,1.06,26.4
Corn,1.07,35
Grapes,2.63,36.4
Avocados,3.23,20.1
Beets,1.51,34.8
Red onion,0.78,16.8
Celery,3.07,13.8
Green cabbage,0.8,3.4
Bananas,0.86,12.2
Green beans,2.52,35.6
Green cabbage,0.8,11.1
Avocados,3.23,25.5
Eggplant,2.32,33.4
Papaya,1.34,15.9
Strawberries,4.4,39
Lemon,1.29,39.5
Beets,1.51,14.3
Okra,2.26,22.1
Coconuts,1.18,1.3
Asparagus,2.49,4.3
Watermelon,0.66,13.9
Yellow peppers,2.87,33
Celery,3.07,31.5
Watermelon,0.66,19.9
Spinach,4.12,14.4
Bok choy,1.42,15.1
Grapes,2.63,39.1
Tomatoes,3.16,2
Daikon,1.4,28.3
Orange,1.09,1.3
Cherries,9.5,33.9
Apples,1.88,3.6
Lettuce,1.88,9.3
Garlic,1.19,37.6
Eggplant,2.32,22.7
Lemon,1.29,35.7
Corn,1.07,24.5
Apricots,3.71,31.2
Apples,1.88,36.3
Grapes,2.63,10.6
Strawberries,4.4,22.2
Red onion,0.78,31.1
Eggplant,2.32,14.6
Red onion,0.78,30.4
Apples,1.88,16.9
Apples,1.88,2.5
Kale,5.02,22.9
Watermelon,0.66,35
Orange,1.09,29.6
Carrots,1.26,1.3
Avocados,3.23,16.5
Daikon,1.4,32.8
Butternut squash,1.28,38.4
Strawberries,4.4,20.1
Fava beans,2.69,11.5
Cherries,9.5,10
Carrots,1.26,2.4
Spinach,4.12,5.5
Carrots,1.26,4.4
Green beans,2.52,23.8
Celery,3.07,22.5
Potatoes,0.86,31
Apples,1.88,28.3
Eggplant,2.32,35.1
Orange,1.09,14.4
Brussels sprouts,1.65,17.3
Okra,2.26,6.2
Okra,2.26,17.2
Ginger,5.13,13
Lime,1.06,24.3
Spinach,4.12,19.8
Papaya,1.34,5.1
Garlic,1.19,39.5
Red onion,0.78,35.3
Asparagus,2.49,33.3
Strawberries,4.4,5.6
Celery,3.07,2.1
Asparagus,2.49,5.9
Potatoes,0.86,14.6
Bok choy,1.42,0.5
Red onion,0.78,7.2
Corn,1.07,19.1
Grapes,2.63,33.5
Okra,2.26,17.1
Carrots,1.26,24.7
Bananas,0.86,25.8
Grapefruit,0.76,17.8
Grapefruit,0.76,34.7
Fava beans,2.69,21.2
Red onion,0.78,5
Papaya,1.34,13.4
Coconuts,1.18,21.4
Cherries,9.5,11.8
Ginger,5.13,11.2
Bananas,0.86,24.7
Cucumber,1.07,27.6
Asparagus,2.49,38.3
Cucumber,1.07,6.6
Garlic,1.19,2.2
Brussels sprouts,1.65,11.1
Watermelon,0.66,9.8
Bananas,0.86,9
Strawberries,4.4,12
Red onion,0.78,33.5
Orange,1.09,6.9
Tomatoes,3.16,33.1
Daikon,1.4,17.1
Apricots,3.71,19.4
Green peppers,1.89,13.7
Strawberries,4.4,36.7
Lemon,1.29,38.4
Kale,5.02,13.7
Asparagus,2.49,12
Brussels sprouts,1.65,23.7
Bok choy,1.42,23.8
Celery,3.07,37
Butternut squash,1.28,9.8
Brussels sprouts,1.65,30
Avocados,3.23,10.2
Strawberries,4.4,14.4
Brussels sprouts,1.65,5.5
Lettuce,1.88,12.5
Carrots,1.26,14.9
Lemon,1.29,24.1
Asparagus,2.49,14.3
Coconuts,1.18,18.9
Green cabbage,0.8,37.5
Celery,3.07,6.3
Papaya,1.34,10.8
Green beans,2.52,1.2
Potatoes,0.86,19.8
Spinach,4.12,27.6
Corn,1.07,35.5
Red onion,0.78,24.8
Brussels sprouts,1.65,3.6
Watermelon,0.66,39.5
Eggplant,2.32,1.4
Okra,2.26,7.2
Red onion,0.78,13.5
Orange,1.09,18.3
Yellow peppers,2.87,32.3
Ginger,5.13,34.2
Butternut squash,1.28,24
Green cabbage,0.8,28.5
Butternut squash,1.28,1.5
Spinach,4.12,30.6
Green beans,2.52,38.4
Eggplant,2.32,4.6
Spinach,4.12,30.4
Watermelon,0.66,30.4
Asparagus,2.49,13.4
Red onion,0.78,12.3
Green beans,2.52,18.2
Lemon,1.29,7.8
Lettuce,1.88,16.4
Kale,5.02,34.9
Cucumber,1.07,16.8
Grapefruit,0.76,19.2
Coconuts,1.18,6.2
Beets,1.51,21.4
Lettuce,1.88,29.1
Potatoes,0.86,17.5
Lettuce,1.88,2.1
Eggplant,2.32,9.1
Apples,1.88,11.2
Green cabbage,0.8,10.6
Lemon,1.29,9.1
Okra,2.26,25.6
Beets,1.51,36.5
Orange,1.09,8.2
Corn,1.07,37.5
Asparagus,2.49,23.8
Red onion,0.78,27.2
Cherries,9.5,27.1
Watermelon,0.66,7.6
Butternut squash,1.28,26.9
Celery,3.07,17.4
Orange,1.09,38.2
Garlic,1.19,37.3
Lime,1.06,26.5
Grapefruit,0.76,19.2
Ginger,5.13,18.9
Green peppers,1.89,22.6
Strawberries,4.4,21.9
Cucumber,1.07,16.5
Apples,1.88,19.9
Kale,5.02,36.8
Beets,1.51,9.7
Strawberries,4.4,36.2
Cherries,9.5,14.2
Okra,2.26,3.2
Potatoes,0.86,40
Watermelon,0.66,25
Garlic,1.19,8
Eggplant,2.32,20.1
Celery,3.07,15.9
Fava beans,2.69,4.6
Red onion,0.78,14.5
Fava beans,2.69,15
Cucumber,1.07,2.9
Corn,1.07,6.8
Beets,1.51,17.9
Papaya,1.34,39.3
Corn,1.07,19.9
Asparagus,2.49,33.8
Parsnips,2.27,24.8
Cucumber,1.07,26.3
Green cabbage,0.8,33.2
Kale,5.02,39
Parsnips,2.27,28.3
Eggplant,2.32,34.6
Green peppers,1.89,17.9
Green beans,2.52,25.8
Lime,1.06,20.7
Apricots,3.71,36
Spinach,4.12,25.2
Cucumber,1.07,25.8
Green cabbage,0.8,4.3
Okra,2.26,31.8
Cucumber,1.07,40
Carrots,1.26,13.2
Coconuts,1.18,28.9
Daikon,1.4,5.3
Celery,3.07,10.2
Carrots,1.26,29.4
Watermelon,0.66,26.7
Orange,1.09,11.5
Lime,1.06,32.4
Green cabbage,0.8,10.5
Garlic,1.19,21.2
Avocados,3.23,16.5
Apples,1.88,38.7
Cucumber,1.07,18.2
Strawberries,4.4,15.6
Carrots,1.26,31.8
Apples,1.88,21.9
Parsnips,2.27,5.4
Brussels sprouts,1.65,36.7
Parsnips,2.27,24.2
Red onion,0.78,7.7
Asparagus,2.49,34.2
Spinach,4.12,25.3
Beets,1.51,25.5
Green cabbage,0.8,26.2
Carrots,1.26,3.7
Strawberries,4.4,26.8
Cherries,9.5,15.3
Orange,1.09,29
Papaya,1.34,22.9
Fava beans,2.69,12.3
Beets,1.51,39.5
Coconuts,1.18,15.3
Red onion,0.78,29.2
Apples,1.88,32.7
Bananas,0.86,33.1
Spinach,4.12,9.8
Butternut squash,1.28,37.6
Green cabbage,0.8,11.8
Beets,1.51,24
Avocados,3.23,6.5
Cucumber,1.07,38.4
Garlic,1.19,39.2
Watermelon,0.66,25.4
Yellow peppers,2.87,36.8
Asparagus,2.49,22
Brussels sprouts,1.65,2.8
Cucumber,1.07,13.4
Bananas,0.86,35.1
Garlic,1.19,12.3
Grapefruit,0.76,9.1
Apricots,3.71,15.4
Butternut squash,1.28,14.4
Coconuts,1.18,12
Eggplant,2.32,23.2
Yellow peppers,2.87,16.7
Coconuts,1.18,9.2
Eggplant,2.32,35.4
Strawberries,4.4,31.2
Bananas,0.86,19
Avocados,3.23,7.1
Potatoes,0.86,0.9
Grapefruit,0.76,29.6
Daikon,1.4,25.6
Okra,2.26,3.2
Beets,1.51,33.1
Butternut squash,1.28,22.3
Ginger,5.13,2.4
Eggplant,2.32,32.2
Spinach,4.12,2.6
Garlic,1.19,33.3
Grapes,2.63,30.2
Parsnips,2.27,14
Lemon,1.29,25.5
Eggplant,2.32,27
Lime,1.06,29.3
Brussels sprouts,1.65,33.5
Kale,5.02,21.2
Green peppers,1.89,38.5
Green cabbage,0.8,20.3
Bananas,0.86,6.5
Bok choy,1.42,20.6
Carrots,1.26,27.1
Grapes,2.63,28.4
Apricots,3.71,14.8
Brussels sprouts,1.65,37.7
Spinach,4.12,18.8
Strawberries,4.4,38.9
Watermelon,0.66,16.9
Red onion,0.78,2
Bok choy,1.42,21.7
Corn,1.07,29.1
Corn,1.07,4.8
Avocados,3.23,39.5
Grapes,2.63,17.8
Bananas,0.86,16.1
Grapes,2.63,17.5
Garlic,1.19,5.5
Grapes,2.63,34.2
Apples,1.88,27.4
Grapefruit,0.76,25.5
Watermelon,0.66,27.4
Eggplant,2.32,30.3
Eggplant,2.32,13.2
Potatoes,0.86,19.2
Fava beans,2.69,10.9
Cherries,9.5,14.2
Corn,1.07,32.5
Grapes,2.63,27.3
Fava beans,2.69,12.9
Ginger,5.13,7.9
Avocados,3.23,23.3
Red onion,0.78,6.5
Grapefruit,0.76,6
Green beans,2.52,25.2
Garlic,1.19,26.8
Daikon,1.4,7.3
Brussels sprouts,1.65,13.8
Grapes,2.63,13.9
Apples,1.88,28
Grapes,2.63,24.5
Kale,5.02,17.7
Daikon,1.4,6.3
Lettuce,1.88,11.4
Watermelon,0.66,6.2
Eggplant,2.32,36.1
Strawberries,4.4,17
Red onion,0.78,13.8
Cucumber,1.07,4.2
Ginger,5.13,15.1
Carrots,1.26,12.4
Butternut squash,1.28,8.7
Strawberries,4.4,11
Apricots,3.71,8.4
Bok choy,1.42,6.3
Fava beans,2.69,29
Carrots,1.26,3.3
Parsnips,2.27,30.5
Beets,1.51,3.4
Kale,5.02,35.4
Cucumber,1.07,12.9
Potatoes,0.86,6.6
Cherries,9.5,10.5
Corn,1.07,29.9
Eggplant,2.32,31.3
Apricots,3.71,32.2
Daikon,1.4,9.5
Bananas,0.86,4.9
Grapefruit,0.76,8.4
Yellow peppers,2.87,38.3
Orange,1.09,6
Strawberries,4.4,22.5
Okra,2.26,12.4
Asparagus,2.49,4.2
Eggplant,2.32,11.9
Kale,5.02,13.6
Avocados,3.23,20.9
Coconuts,1.18,4.2
Spinach,4.12,23.7
Bananas,0.86,13.9
Cherries,9.5,32.6
Apples,1.88,4.4
Beets,1.51,24.2
Cherries,9.5,5.6
Parsnips,2.27,11.3
Ginger,5.13,24.3
Avocados,3.23,38.8
Asparagus,2.49,25.8
Brussels sprouts,1.65,16.6
Lime,1.06,20.6
Kale,5.02,32.8
Cherries,9.5,2.7
Grapes,2.63,27.8
Cherries,9.5,19.4
Coconuts,1.18,38.9
Coconuts,1.18,29.4
Celery,3.07,11.7
Avocados,3.23,38.6
Grapefruit,0.76,13.4
Bok choy,1.42,10.6
Parsnips,2.27,2.3
Bananas,0.86,13.4
Daikon,1.4,16
Coconuts,1.18,3.2
Cucumber,1.07,11.4
Asparagus,2.49,38.1
Carrots,1.26,16.3
Butternut squash,1.28,23.3
Tomatoes,3.16,5.6
Red onion,0.78,20.2
Carrots,1.26,2.1
Celery,3.07,34.2
Red onion,0.78,29.1
Cucumber,1.07,26.9
Coconuts,1.18,14.6
Celery,3.07,9.3
Apricots,3.71,25.3
Lemon,1.29,27.2
Green cabbage,0.8,36.7
Green beans,2.52,13.4
Kale,5.02,37.3
Grapefruit,0.76,30.7
Garlic,1.19,14.3
Apples,1.88,26.5
Butternut squash,1.28,12.9
Avocados,3.23,9.4
Ginger,5.13,2
Strawberries,4.4,26.1
Grapes,2.63,29.3
Cucumber,1.07,16.3
Cherries,9.5,24.3
Eggplant,2.32,20.4
Brussels sprouts,1.65,32.7
Butternut squash,1.28,4.4
Bananas,0.86,18.4
Yellow peppers,2.87,36.1
Strawberries,4.4,8.1
Potatoes,0.86,37.7
Carrots,1.26,30.8
Beets,1.51,39.4
Apples,1.88,34.2
Asparagus,2.49,1.6
Garlic,1.19,7.5
Cucumber,1.07,4
Apricots,3.71,21.5
Grapes,2.63,27.6
Papaya,1.34,10.8
Lime,1.06,24.4
Green cabbage,0.8,33.5
Coconuts,1.18,39.5
Daikon,1.4,20.9
Butternut squash,1.28,28.1
Green cabbage,0.8,18.1
Garlic,1.19,18.5
Apricots,3.71,22
Avocados,3.23,14.5
Corn,1.07,10.4
Strawberries,4.4,24
Lettuce,1.88,35.7
Beets,1.51,36.3
Green peppers,1.89,1.3
Lettuce,1.88,23.6
Carrots,1.26,11.3
Avocados,3.23,34.8
Garlic,1.19,35.9
Cucumber,1.07,39.3
Bok choy,1.42,10.3
Potatoes,0.86,37.7
Coconuts,1.18,23.4
Eggplant,2.32,25.5
Butternut squash,1.28,38.8
Fava beans,2.69,12
Papaya,1.34,20.8
Asparagus,2.49,35.6
Asparagus,2.49,38
Papaya,1.34,6.9
Daikon,1.4,22.4
Butternut squash,1.28,16.2
Grapefruit,0.76,16.1
Garlic,1.19,4.9
Avocados,3.23,22.2
Okra,2.26,13.9
Strawberries,4.4,29.2
Carrots,1.26,16.4
Strawberries,4.4,10.7
Tomatoes,3.16,4.6
Kale,5.02,9
Apricots,3.71,22
Tomatoes,3.16,19
Beets,1.51,10.7
Parsnips,2.27,10.2
Beets,1.51,5.4
Kale,5.02,29.5
Potatoes,0.86,35
Kale,5.02,35.8
Kale,5.02,38.9
Green peppers,1.89,9.9
Lemon,1.29,11.6
Strawberries,4.4,2.1
Lime,1.06,8.7
Apricots,3.71,33.1
Watermelon,0.66,23.4
Spinach,4.12,26.5
Lettuce,1.88,24.7
Okra,2.26,4.4
Green beans,2.52,28.9
Fava beans,2.69,1.3
Cucumber,1.07,19.6
Beets,1.51,0.8
Green cabbage,0.8,5.7
Green beans,2.52,1.9
Beets,1.51,1.5
Papaya,1.34,7.1
Garlic,1.19,38.5
Daikon,1.4,5.8
Strawberries,4.4,2.5
Butternut squash,1.28,37.7
Ginger,5.13,36.9
Spinach,4.12,9.4
Orange,1.09,24.4
Tomatoes,3.16,8
Yellow peppers,2.87,18.3
Lime,1.06,15.7
Carrots,1.26,29.9
Fava beans,2.69,35.9
Beets,1.51,16.6
Carrots,1.26,8
Daikon,1.4,5
Yellow peppers,2.87,39.6
Red onion,0.78,26.8
Okra,2.26,15.8
Coconuts,1.18,8.9
Celery,3.07,1.4
Strawberries,4.4,1.2
Okra,2.26,24.1
Corn,1.07,30.8
Strawberries,4.4,29.5
Coconuts,1.18,31.6
Celery,3.07,30.9
Green cabbage,0.8,29.9
Butternut squash,1.28,23.4
Spinach,4.12,6.4
Orange,1.09,32.6
Papaya,1.34,13.6
Coconuts,1.18,8.7
Parsnips,2.27,11.1
Green cabbage,0.8,16.9
Green cabbage,0.8,2.2
Fava beans,2.69,36
Strawberries,4.4,17.5
Carrots,1.26,19.1
Garlic,1.19,15.6
Grapes,2.63,8.7
Lime,1.06,5.5
Yellow peppers,2.87,18.5
Asparagus,2.49,8.6
Grapes,2.63,38.6
Strawberries,4.4,15.8
Potatoes,0.86,8.6
Lettuce,1.88,11.1
Daikon,1.4,6.9
Lemon,1.29,39.3
Asparagus,2.49,30.5
Beets,1.51,32.2
Carrots,1.26,32
Okra,2.26,39.3
Cucumber,1.07,8.2
Red onion,0.78,15.7
Daikon,1.4,26.1
Potatoes,0.86,18.8
Carrots,1.26,4.9
Yellow peppers,2.87,10.1
Lettuce,1.88,10
Bok choy,1.42,4.3
Fava beans,2.69,6.4
Bananas,0.86,35.2
Corn,1.07,32.8
Tomatoes,3.16,6.3
Asparagus,2.49,28.3
Bananas,0.86,29.4
Kale,5.02,16.3
Celery,3.07,8.7
Yellow peppers,2.87,1.6
Cherries,9.5,34.6
Fava beans,2.69,37.6
Bananas,0.86,32.9
Okra,2.26,28
Green cabbage,0.8,12.7
Bok choy,1.42,10.6
Butternut squash,1.28,21.5
Watermelon,0.66,8
Lime,1.06,17.7
Carrots,1.26,27.5
Lemon,1.29,26.4
Watermelon,0.66,25
Lettuce,1.88,28.1
Coconuts,1.18,4.6
Avocados,3.23,13.3
Cucumber,1.07,36.2
Kale,5.02,8.5
Tomatoes,3.16,17.2
Asparagus,2.49,30.6
Bananas,0.86,10.9
Lime,1.06,38.2
Beets,1.51,25.9
Grapefruit,0.76,34.1
Green beans,2.52,21.8
Lettuce,1.88,23.7
Eggplant,2.32,12
Beets,1.51,4.7
Lettuce,1.88,17.2
Celery,3.07,36.9
Cucumber,1.07,34.9
Asparagus,2.49,15.3
Eggplant,2.32,2.7
Lime,1.06,30.1
Yellow peppers,2.87,35.6
Parsnips,2.27,22.4
Avocados,3.23,10.2
Celery,3.07,23.1
Potatoes,0.86,9.2
Grapefruit,0.76,1.8
Strawberries,4.4,15.7
Bananas,0.86,32.3
Avocados,3.23,8
Tomatoes,3.16,16.6
Brussels sprouts,1.65,9.6
Watermelon,0.66,36
